Player;Date;Day;Comp;Round;Venue;Result;Squad;Opponent;Start;Pos;Min;Gls;Ast;PK;PKatt;Sh;SoT;CrdY;CrdR;Touches;Tkl;Int;Blocks;xG;npxG;xAG;SCA;GCA;Cmp;Att;Cmp%;PrgP;Carries;PrgC;Succ;Match Report;SoTA;GA;Saves;Save%;CS;PSxG;PKA;PKsv;PKm;Att (GK);Thr;Launch%;AvgLen;Opp;Stp;Stp%;#OPA;AvgDist
Florian Wirtz;2024-06-03;Mon;Friendlies (M);Friendlies (M);Home;D 0–0;de Germany;ua Ukraine;Y;AM;45;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Roman Yaremchuk;2024-06-03;Mon;Friendlies (M);Friendlies (M);Away;D 0–0;ua Ukraine;de Germany;Y;FW;72;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Illia Zabarnyi;2024-06-03;Mon;Friendlies (M);Friendlies (M);Away;D 0–0;ua Ukraine;de Germany;Y;CB;90;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Oleksandr Zinchenko;2024-06-03;Mon;Friendlies (M);Friendlies (M);Away;D 0–0;ua Ukraine;de Germany;Y;LB;90;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Michel Aebischer;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;W 4–0;ch Switzerland;ee Estonia;N;;17;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Manuel Akanji;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;W 4–0;ch Switzerland;ee Estonia;Y;CB;90;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Zeki Amdouni;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;W 4–0;ch Switzerland;ee Estonia;N;;45;1;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Marko Arnautović;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;W 2–1;at Austria;rs Serbia;Y*;FW;45;0;0;0;0;;;1;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Alessandro Bastoni;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;D 0–0;it Italy;tr Türkiye;Y;CB;90;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Christoph Baumgartner;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;W 2–1;at Austria;rs Serbia;Y;AM;61;1;1;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Jaka Bijol;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;W 2–1;si Slovenia;am Armenia;Y*;CB;90;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Riccardo Calafiori;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;D 0–0;it Italy;tr Türkiye;N;;6;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Hakan Çalhanoğlu;2024-06-04;Tue;Friendlies (M);Friendlies (M);Away;D 0–0;tr Türkiye;it Italy;Y*;DM;90;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Andrea Cambiaso;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;D 0–0;it Italy;tr Türkiye;N;;45;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
João Cancelo;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;W 4–2;pt Portugal;fi Finland;Y;RB;90;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Zeki Çelik;2024-06-04;Tue;Friendlies (M);Friendlies (M);Away;D 0–0;tr Türkiye;it Italy;Y;RB;65;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Federico Chiesa;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;D 0–0;it Italy;tr Türkiye;Y;FW;45;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Séamus Coleman;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;W 2–1;ie Rep. of Ireland;hu Hungary;Y*;CB;90;0;0;0;0;;;1;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Bryan Cristante;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;D 0–0;it Italy;tr Türkiye;Y;CM;90;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Josh Cullen;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;W 2–1;ie Rep. of Ireland;hu Hungary;Y;CM;78;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Diogo Dalot;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;W 4–2;pt Portugal;fi Finland;N;;45;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Kevin Danso;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;W 2–1;at Austria;rs Serbia;Y;CB;72;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Giovanni Di Lorenzo;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;D 0–0;it Italy;tr Türkiye;Y;RB;90;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Federico Dimarco;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;D 0–0;it Italy;tr Türkiye;Y;LB;84;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Matt Doherty;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;W 2–1;ie Rep. of Ireland;hu Hungary;Y;RM;45;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Radu Drăgușin;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;D 0–0;ro Romania;bg Bulgaria;Y;CB;90;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Nico Elvedi;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;W 4–0;ch Switzerland;ee Estonia;Y;CB;90;1;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Nicolò Fagioli;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;D 0–0;it Italy;tr Türkiye;N;;29;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Davide Frattesi;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;D 0–0;it Italy;tr Türkiye;N;;23;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Remo Freuler;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;W 4–0;ch Switzerland;ee Estonia;Y;CM;45;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Michael Gregoritsch;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;W 2–1;at Austria;rs Serbia;N;;45;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Florian Grillitsch;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;W 2–1;at Austria;rs Serbia;Y;DM;42;0;1;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Nemanja Gudelj;2024-06-04;Tue;Friendlies (M);Friendlies (M);Away;L 1–2;rs Serbia;at Austria;Y;CB;63;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Péter Gulácsi;2024-06-04;Tue;Friendlies (M);Friendlies (M);Away;L 1–2;hu Hungary;ie Rep. of Ireland;Y;GK;45;;;;0;;;;;;;;;;;;;;;;;;;;;Match Report;;;;;0;;0;0;0;;;;;;;;;
Ianis Hagi;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;D 0–0;ro Romania;bg Bulgaria;N;;31;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Lukáš Hrádecký;2024-06-04;Tue;Friendlies (M);Friendlies (M);Away;L 2–4;fi Finland;pt Portugal;Y*;GK;90;;;;1;;;;;;;;;;;;;;;;;;;;;Match Report;;;;;1;;1;0;0;;;;;;;;;
Ivan Ilić;2024-06-04;Tue;Friendlies (M);Friendlies (M);Away;L 1–2;rs Serbia;at Austria;N;;48;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Diogo Jota;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;W 4–2;pt Portugal;fi Finland;Y;FW;45;1;0;1;1;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Caoimhín Kelleher;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;W 2–1;ie Rep. of Ireland;hu Hungary;Y;GK;90;;;;0;;;;;;;;;;;;;;;;;;;;;Match Report;;;;;1;;0;0;0;;;;;;;;;
Milos Kerkez;2024-06-04;Tue;Friendlies (M);Friendlies (M);Away;L 1–2;hu Hungary;ie Rep. of Ireland;Y;DM;69;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Konrad Laimer;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;W 2–1;at Austria;rs Serbia;N;;48;0;0;0;0;;;1;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Rafael Leão;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;W 4–2;pt Portugal;fi Finland;Y;FW;45;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Philipp Lienhart;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;W 2–1;at Austria;rs Serbia;N;;30;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Sandi Lovrić;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;W 2–1;si Slovenia;am Armenia;N;;20;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Saša Lukić;2024-06-04;Tue;Friendlies (M);Friendlies (M);Away;L 1–2;rs Serbia;at Austria;N;;16;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Nemanja Maksimović;2024-06-04;Tue;Friendlies (M);Friendlies (M);Away;L 1–2;rs Serbia;at Austria;Y;DM;42;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Gianluca Mancini;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;D 0–0;it Italy;tr Türkiye;Y;CB;90;0;0;0;0;;;1;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Răzvan Marin;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;D 0–0;ro Romania;bg Bulgaria;Y;CM;90;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Nikola Milenković;2024-06-04;Tue;Friendlies (M);Friendlies (M);Away;L 1–2;rs Serbia;at Austria;N;;45;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Vanja Milinković-Savić;2024-06-04;Tue;Friendlies (M);Friendlies (M);Away;L 1–2;rs Serbia;at Austria;Y;GK;90;;;;0;;;;;;;;;;;;;;;;;;;;;Match Report;;;;;1;;0;0;0;;;;;;;;;
Aleksandar Mitrović;2024-06-04;Tue;Friendlies (M);Friendlies (M);Away;L 1–2;rs Serbia;at Austria;N;;45;0;0;0;0;;;1;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Yvon Mvogo;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;W 4–0;ch Switzerland;ee Estonia;Y;GK;90;;;;0;;;;;;;;;;;;;;;;;;;;;Match Report;;;;;1;;0;0;0;;;;;;;;;
Dan Ndoye;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;W 4–0;ch Switzerland;ee Estonia;Y;LM;60;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Loïc Nego;2024-06-04;Tue;Friendlies (M);Friendlies (M);Away;L 1–2;hu Hungary;ie Rep. of Ireland;Y;DM;45;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Jake O'Brien;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;W 2–1;ie Rep. of Ireland;hu Hungary;N;;45;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Dara O'Shea;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;W 2–1;ie Rep. of Ireland;hu Hungary;Y;CB;90;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Michael Obafemi;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;W 2–1;ie Rep. of Ireland;hu Hungary;N;;20;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Willi Orban;2024-06-04;Tue;Friendlies (M);Friendlies (M);Away;L 1–2;hu Hungary;ie Rep. of Ireland;Y;CB;90;0;1;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Riccardo Orsolini;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;D 0–0;it Italy;tr Türkiye;Y;FW;45;0;0;0;0;;;1;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Cenk Özkacar;2024-06-04;Tue;Friendlies (M);Friendlies (M);Away;D 0–0;tr Türkiye;it Italy;N;;25;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
João Palhinha;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;W 4–2;pt Portugal;fi Finland;Y;DM;45;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Lorenzo Pellegrini;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;D 0–0;it Italy;tr Türkiye;Y;CM;67;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Stefan Posch;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;W 2–1;at Austria;rs Serbia;Y;RB;90;0;0;0;0;;;1;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Gonçalo Ramos;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;W 4–2;pt Portugal;fi Finland;N;;45;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Giacomo Raspadori;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;D 0–0;it Italy;tr Türkiye;N;;23;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Andrei Ratiu;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;D 0–0;ro Romania;bg Bulgaria;Y;RB;90;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Mateo Retegui;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;D 0–0;it Italy;tr Türkiye;Y;FW;67;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Fabian Rieder;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;W 4–0;ch Switzerland;ee Estonia;N;;30;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Roland Sallai;2024-06-04;Tue;Friendlies (M);Friendlies (M);Away;L 1–2;hu Hungary;ie Rep. of Ireland;Y;AM;90;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Lazar Samardzic;2024-06-04;Tue;Friendlies (M);Friendlies (M);Away;L 1–2;rs Serbia;at Austria;N;;27;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
András Schäfer;2024-06-04;Tue;Friendlies (M);Friendlies (M);Away;L 1–2;hu Hungary;ie Rep. of Ireland;Y;DM;70;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Fabian Schär;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;W 4–0;ch Switzerland;ee Estonia;Y;CB;90;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Romano Schmid;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;W 2–1;at Austria;rs Serbia;Y;AM;61;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Nicolas Seiwald;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;W 2–1;at Austria;rs Serbia;Y;DM;90;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Vincent Sierro;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;W 4–0;ch Switzerland;ee Estonia;N;;45;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Leonidas Stergiou;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;W 4–0;ch Switzerland;ee Estonia;N;;30;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Dominik Szoboszlai;2024-06-04;Tue;Friendlies (M);Friendlies (M);Away;L 1–2;hu Hungary;ie Rep. of Ireland;Y*;AM;90;0;0;0;0;;;1;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Miloš Veljković;2024-06-04;Tue;Friendlies (M);Friendlies (M);Away;L 1–2;rs Serbia;at Austria;Y;CB;90;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Guglielmo Vicario;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;D 0–0;it Italy;tr Türkiye;Y;GK;90;;;;0;;;;;;;;;;;;;;;;;;;;;Match Report;;;;;1;;0;0;0;;;;;;;;;
Dušan Vlahović;2024-06-04;Tue;Friendlies (M);Friendlies (M);Away;L 1–2;rs Serbia;at Austria;Y;FW;74;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Silvan Widmer;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;W 4–0;ch Switzerland;ee Estonia;Y;RM;60;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Patrick Wimmer;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;W 2–1;at Austria;rs Serbia;Y;AM;77;1;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Maximilian Wöber;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;W 2–1;at Austria;rs Serbia;Y;CB;60;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Granit Xhaka;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;W 4–0;ch Switzerland;ee Estonia;Y*;CM;73;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Yusuf Yazıcı;2024-06-04;Tue;Friendlies (M);Friendlies (M);Away;D 0–0;tr Türkiye;it Italy;Y;AM;54;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Kenan Yıldız;2024-06-04;Tue;Friendlies (M);Friendlies (M);Away;D 0–0;tr Türkiye;it Italy;Y;AM;90;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Mattia Zaccagni;2024-06-04;Tue;Friendlies (M);Friendlies (M);Home;D 0–0;it Italy;tr Türkiye;N;;45;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Kristoffer Ajer;2024-06-05;Wed;Friendlies (M);Friendlies (M);Home;W 3–0;no Norway;xk Kosovo;Y;RB;90;0;0;0;0;;;1;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Joachim Andersen;2024-06-05;Wed;Friendlies (M);Friendlies (M);Home;W 2–1;dk Denmark;se Sweden;Y;CB;45;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Alex Baena;2024-06-05;Wed;Friendlies (M);Friendlies (M);Home;W 5–0;es Spain;ad Andorra;Y;CM;90;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Bradley Barcola;2024-06-05;Wed;Friendlies (M);Friendlies (M);Home;W 3–0;fr France;lu Luxembourg;N;;10;0;1;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Ihlas Bebou;2024-06-05;Wed;WCQ;First round;Home;D 1–1;tg Togo;ss South Sudan;Y;FW;90;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Sheraldo Becker;2024-06-05;Wed;WCQ;Second round;Home;W 4–1;sr Suriname;vc St. Vincent;Y;LM;90;1;0;1;1;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Rodrigo Bentancur;2024-06-05;Wed;Friendlies (M);Friendlies (M);Neutral;W 4–0;uy Uruguay;mx Mexico;Y;DM;88;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Sander Berge;2024-06-05;Wed;Friendlies (M);Friendlies (M);Home;W 3–0;no Norway;xk Kosovo;Y;DM;90;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Victor Bernth Kristiansen;2024-06-05;Wed;Friendlies (M);Friendlies (M);Home;W 2–1;dk Denmark;se Sweden;N;;30;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Oscar Bobb;2024-06-05;Wed;Friendlies (M);Friendlies (M);Home;W 3–0;no Norway;xk Kosovo;Y;AM;61;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Jens Cajuste;2024-06-05;Wed;Friendlies (M);Friendlies (M);Away;L 1–2;se Sweden;dk Denmark;Y;LB;90;0;0;0;0;;;1;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Eduardo Camavinga;2024-06-05;Wed;Friendlies (M);Friendlies (M);Home;W 3–0;fr France;lu Luxembourg;N;;2;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Yannick Carrasco;2024-06-05;Wed;Friendlies (M);Friendlies (M);Home;W 2–0;be Belgium;me Montenegro;Y;AM;45;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Timothy Castagne;2024-06-05;Wed;Friendlies (M);Friendlies (M);Home;W 2–0;be Belgium;me Montenegro;N;;45;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Koen Casteels;2024-06-05;Wed;Friendlies (M);Friendlies (M);Home;W 2–0;be Belgium;me Montenegro;Y;GK;90;;;;0;;;;;;;;;;;;;;;;;;;;;Match Report;;;;;1;;0;0;0;;;;;;;;;
Jonathan Clauss;2024-06-05;Wed;Friendlies (M);Friendlies (M);Home;W 3–0;fr France;lu Luxembourg;N;;45;1;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Saúl Coco;2024-06-05;Wed;WCQ;First round;Away;L 0–1;gq Equ. Guinea;tn Tunisia;Y;CB;90;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Pau Cubarsí;2024-06-05;Wed;Friendlies (M);Friendlies (M);Home;W 5–0;es Spain;ad Andorra;Y;CB;45;0;1;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Marc Cucurella;2024-06-05;Wed;Friendlies (M);Friendlies (M);Home;W 5–0;es Spain;ad Andorra;N;;45;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Kevin De Bruyne;2024-06-05;Wed;Friendlies (M);Friendlies (M);Home;W 2–0;be Belgium;me Montenegro;Y*;AM;45;1;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Jeremy Doku;2024-06-05;Wed;Friendlies (M);Friendlies (M);Home;W 2–0;be Belgium;me Montenegro;N;;45;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Aron Dønnum;2024-06-05;Wed;Friendlies (M);Friendlies (M);Home;W 3–0;no Norway;xk Kosovo;N;;29;0;1;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Hjalmar Ekdal;2024-06-05;Wed;Friendlies (M);Friendlies (M);Away;L 1–2;se Sweden;dk Denmark;N;;8;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Anthony Elanga;2024-06-05;Wed;Friendlies (M);Friendlies (M);Away;L 1–2;se Sweden;dk Denmark;Y;AM;90;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Christian Eriksen;2024-06-05;Wed;Friendlies (M);Friendlies (M);Home;W 2–1;dk Denmark;se Sweden;Y;AM;90;1;1;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Aleix García;2024-06-05;Wed;Friendlies (M);Friendlies (M);Home;W 5–0;es Spain;ad Andorra;Y;DM;66;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Olivier Giroud;2024-06-05;Wed;Friendlies (M);Friendlies (M);Home;W 3–0;fr France;lu Luxembourg;N;;10;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Antoine Griezmann;2024-06-05;Wed;Friendlies (M);Friendlies (M);Home;W 3–0;fr France;lu Luxembourg;Y;AM;80;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
